v_lsr ,T_B
-42.25,7.822
-41.22,8.182
-40.19,8.674
-39.16,9.686
-38.13,10.465
-37.1,11.261
-36.07,11.02
-35.04,11.144
-34.01,9.919
-32.98,8.12
-31.95,7.138
-30.91,7.597
-29.88,8.769
-28.85,11.351
-27.82,16.155
-26.79,21.601
-25.76,26.436
-24.73,30.951
-23.7,35.801
-22.67,41.41
-21.64,47.434
-20.61,53.881
-19.58,59.382
-18.55,63.597
-17.52,66.296
-16.49,67.955
-15.46,68.458
-14.43,69.079
-13.4,70.394
-12.37,71.072
-11.34,69.738
-10.3,64.17
-9.27,53.267
-8.24,40.078
-7.21,29.848
-6.18,25.735
-5.15,25.98
-4.12,27.613
-3.09,29.008
-2.06,30.284
-1.03,33.135
0,35.506
1.03,32.934
2.06,31.67
3.09,30.833
4.12,3.081
5.15,-10
6.18,-10
7.21,3.924
8.24,36.369
9.27,51.585
10.3,58.872
11.34,64.835
12.37,62.637
13.4,56.664
14.43,52.65
15.46,51.914
16.49,53.047
17.52,51.837
18.55,48.97
19.58,45.612
20.61,43.081
21.64,41.981
22.67,42.025
23.7,41.979
24.73,41.676
25.76,40.792
26.79,39.696
27.82,36.965
28.85,34.124
29.88,30.771
30.91,27.706
31.95,24.518
32.98,21.924
34.01,19.655
35.04,17.506
36.07,15.907
37.1,14.611
38.13,13.581
39.16,12.548
40.19,11.557
41.22,10.893
42.25,9.865
43.28,9.226
44.31,8.553
45.34,8.078
46.37,7.556
47.4,7.059
48.43,6.647
49.46,6.512
50.49,6.234
51.52,6.144
52.55,6.006
53.59,6.416
54.62,6.181
55.65,6.308
56.68,6.655
57.71,6.724
58.74,6.966
59.77,7.241
60.8,7.706
61.83,7.963
62.86,8.221
63.89,8.583
64.92,8.531
65.95,8.648
66.98,8.39
68.01,8.428
69.04,8.302
70.07,8.146
71.1,7.912
72.13,7.833
73.16,7.698
74.2,7.898
75.23,7.654
76.26,7.928
77.29,7.927
78.32,8.036
79.35,8.185
80.38,8.203
81.41,8.24
82.44,8.078
83.47,8.113
84.5,8.049
85.53,8.032
86.56,7.888
87.59,7.933
88.62,7.947
89.65,7.833
90.68,7.874
91.71,7.932
92.74,7.952
93.77,7.968
94.81,7.848
95.84,7.817
96.87,7.999
97.9,8.063
98.93,8.077
99.96,8.075
100.99,8.143
102.02,8.302
103.05,8.406
104.08,8.295
105.11,8.338
106.14,8.294
107.17,8.485
108.2,8.318
109.23,8.574
110.26,8.574
111.29,8.607
112.32,8.737
113.35,8.793
114.38,8.851
115.41,8.833
116.45,9.007
117.48,9.247
118.51,9.234
119.54,9.422
120.57,9.696
121.6,9.908
122.63,10.017
123.66,10.338
124.69,10.381
125.72,10.794
126.75,10.929
127.78,11.096
128.81,11.208
129.84,10.873
130.87,11.342
131.9,11.183
132.93,11.18
133.96,10.954
134.99,10.85
136.02,10.741
137.06,10.484
138.09,10.315
139.12,10.243
140.15,9.808
141.18,9.599
142.21,9.47
143.24,9.267
144.27,9.058
145.3,8.766
146.33,8.514
147.36,8.11
148.39,7.879
149.42,7.699
150.45,7.588
151.48,7.167
152.51,6.948
153.54,6.82
154.57,6.759
155.6,6.38
156.63,6.257
157.66,6.067
158.7,6.053
159.73,5.83
160.76,5.828
161.79,5.566
162.82,5.529
163.85,5.508
164.88,5.572
165.91,5.324
166.94,5.351
167.97,5.322
169,5.344
170.03,4.974
171.06,4.935
172.09,4.997
173.12,4.98
174.15,4.695
175.18,4.716
176.21,4.453
177.24,4.478
178.27,4.249
179.31,4.25
180.34,3.863
181.37,3.698
182.4,3.394
183.43,3.218
184.46,2.87
185.49,2.674
186.52,2.458
187.55,2.225
188.58,1.857
189.61,1.664
190.64,1.536
191.67,1.381
192.7,0.763
193.73,1.117
194.76,0.956
195.79,0.982
196.82,0.691
197.85,0.706
198.88,0.605
199.92,0.541
200.95,0.55
201.98,0.511
203.01,0.256
204.04,0.239
205.07,0.142
206.1,0.407
207.13,0.311
208.16,0.148
209.19,0.205
210.22,0.2
211.25,0.153
212.28,0.145
213.31,0.126
214.34,-0.058
215.37,0.189
216.4,0.209
217.43,0.071
218.46,0.067
219.49,0.176
220.52,0.099
221.56,0.131
222.59,0.09
223.62,0.115
224.65,0.176
225.68,-0.004
226.71,0.183
227.74,0.042
228.77,0.104
229.8,-0.051
230.83,-0.071
231.86,-0.034
232.89,0.111
233.92,-0.033
234.95,0.143
235.98,-0.006
237.01,0.142
238.04,0.024
239.07,0.274
240.1,0.059
241.13,0.114
242.17,-0.123
243.2,0.086
244.23,0.021
245.26,-0.077
246.29,-0.176
247.32,0.296
248.35,0.022
249.38,-0.018
250.41,-0.048
251.44,0.037
252.47,0.058
253.5,0.128
254.53,-0.051
255.56,0.038
256.59,-0.165
257.62,0.108
258.65,-0.058
259.68,0.049
260.71,0.025
261.74,-0.092
262.77,0.004
263.81,-0.014
264.84,0.043
265.87,-0.022
266.9,0.105
267.93,0.082
268.96,-0.028
269.99,0.03
271.02,0.171
272.05,0.073
273.08,-0.012
274.11,0.181
275.14,-0.049
276.17,0.077
277.2,0.031
278.23,0.072
279.26,0.006
280.29,0.178
281.32,0.04
282.35,0.167
283.38,0.006
284.42,0.177
285.45,0.141
286.48,-0.007
287.51,-0.184
288.54,0.031
289.57,0.018
290.6,0.05
291.63,0.051
292.66,0.077
293.69,-0.067
294.72,0.188
295.75,0.026
296.78,0.118
297.81,0.073
298.84,0.042
299.87,-0.108
300.9,0.078
301.93,0.14
302.96,-0.026
303.99,0.006
305.03,-0.002
306.06,0.011
307.09,-0.024
308.12,-0.025
309.15,0.044
310.18,0.012
311.21,0.058
312.24,0.055
313.27,0.062
314.3,0.007
315.33,0.079
316.36,0.097
317.39,-0.128
318.42,-0.036
319.45,-0.055
320.48,-0.141
321.51,0.007
322.54,-0.062
323.57,0.033
324.6,0.076
325.63,-0.081
326.67,0.116
327.7,-0.039
328.73,-0.168
329.76,0.04
330.79,0.012
331.82,-0.131
332.85,0.188
333.88,0.031
334.91,-0.029
335.94,-0.028
336.97,0.026
338,0.012
339.03,0.106
340.06,0.115
341.09,-0.219
342.12,0
343.15,-0.086
344.18,-0.07
345.21,0.043
346.24,-0.016
347.28,-0.094
348.31,-0.053
349.34,-0.068
350.37,-0.005
351.4,-0.028
352.43,0.093
353.46,-0.05
354.49,0.02
355.52,-0.112
356.55,0.036
357.58,-0.175
358.61,0.063
359.64,-0.075
360.67,0.04
361.7,-0.177
362.73,-0.046
363.76,-0.153
364.79,0.118
365.82,0.079
366.85,-0.038
367.88,0.004
368.92,-0.08
369.95,0.022
370.98,-0.023
372.01,-0.06
373.04,0
374.07,-0.017
375.1,0.027
376.13,-0.056
377.16,-0.045
378.19,-0.035
379.22,0.09
380.25,-0.027
381.28,-0.043
382.31,0.015
383.34,-0.113
384.37,-0.199
385.4,0.021
386.43,-0.077
387.46,0.032
388.49,-0.177
389.53,0.069
390.56,-0.004
391.59,0.017
392.62,-0.111
393.65,0.095
394.68,0.087
395.71,0.057
396.74,-0.07
397.77,0.014
398.8,-0.143
399.83,-0.09
