mu,P
1419.0,0.24698888888889153
1419.0009765625,0.2714590277777563
1419.001953125,0.18584166666665955
1419.0029296875,0.18858981481483425
1419.00390625,0.17857546296294033
1419.0048828125,0.1794509259259208
1419.005859375,0.17695856481484012
1419.0068359375,0.17747037037037472
1419.0078125,0.17493541666665002
1419.0087890625,0.17520717592593524
1419.009765625,0.17582731481481337
1419.0107421875,0.175578703703753
1419.01171875,0.17004675925924806
1419.0126953125,0.16749699074074606
1419.013671875,0.16057476851850946
1419.0146484375,0.16235740740739665
1419.015625,0.15830439814813457
1419.0166015625,0.15946319444444348
1419.017578125,0.15900347222223118
1419.0185546875,0.15596458333330743
1419.01953125,0.15604236111109138
1419.0205078125,0.1597638888888958
1419.021484375,0.1625249999999958
1419.0224609375,0.15497060185183192
1419.0234375,0.15620902777775786
1419.0244140625,0.15886527777777437
1419.025390625,0.1549666666666235
1419.0263671875,0.15141759259257379
1419.02734375,0.1488321759259022
1419.0283203125,0.14416874999998527
1419.029296875,0.14502268518518782
1419.0302734375,0.1367608796296234
1419.03125,0.13522337962959338
1419.0322265625,0.1323252314814661
1419.033203125,0.13371435185183742
1419.0341796875,0.12370879629626062
1419.03515625,0.13260277777780657
1419.0361328125,0.12809791666665504
1419.037109375,0.13148425925923712
1419.0380859375,0.1261349537037159
1419.0390625,0.13239027777779264
1419.0400390625,0.12663194444442305
1419.041015625,0.12575277777777347
1419.0419921875,0.12221134259260581
1419.04296875,0.12005231481481006
1419.0439453125,0.11412893518518431
1419.044921875,0.1131671296296229
1419.0458984375,0.1074960648147909
1419.046875,0.1024664351851736
1419.0478515625,0.0982837962963185
1419.048828125,0.10202476851854081
1419.0498046875,0.10117916666667356
1419.05078125,0.09866782407410497
1419.0517578125,0.09569328703705214
1419.052734375,0.09727685185186014
1419.0537109375,0.09455949074075172
1419.0546875,0.09044328703702745
1419.0556640625,0.08806111111113117
1419.056640625,0.08601134259263567
1419.0576171875,0.07948055555556074
1419.05859375,0.08208101851851642
1419.0595703125,0.07825879629627885
1419.060546875,0.06861458333333685
1419.0615234375,0.06761203703704965
1419.0625,0.06695833333333599
1419.0634765625,0.06325972222223511
1419.064453125,0.06115115740739724
1419.0654296875,0.05765069444445816
1419.06640625,0.05994675925924605
1419.0673828125,0.056813888888905144
1419.068359375,0.0570590277777418
1419.0693359375,0.053439814814825806
1419.0703125,0.0489127314814723
1419.0712890625,0.04678333333334371
1419.072265625,0.045702546296293195
1419.0732421875,0.036594212962958145
1419.07421875,0.034737037037052075
1419.0751953125,0.03488379629628372
1419.076171875,0.0299824074074173
1419.0771484375,0.02458958333332263
1419.078125,0.022997916666676468
1419.0791015625,0.017942129629616443
1419.080078125,0.018328935185192075
1419.0810546875,0.016610185185179135
1419.08203125,0.01640439814814817
1419.0830078125,0.008901620370364974
1419.083984375,0.010325231481491306
1419.0849609375,0.009622916666659773
1419.0859375,0.00025324074072992456
1419.0869140625,0.0019516203703594328
1419.087890625,-0.000921759259258639
1419.0888671875,-0.001917129629611252
1419.08984375,-0.007854861111111968
1419.0908203125,-0.01684861111108163
1419.091796875,-0.015437500000033487
1419.0927734375,-0.019425694444444603
1419.09375,-0.01931967592592926
1419.0947265625,-0.0248120370370413
1419.095703125,-0.025509953703725156
1419.0966796875,-0.028115740740763916
1419.09765625,-0.03228750000000516
1419.0986328125,-0.033812731481446756
1419.099609375,-0.032652314814824134
1419.1005859375,-0.035867824074095535
1419.1015625,-0.03601874999998592
1419.1025390625,-0.043606018518528696
1419.103515625,-0.0449851851852018
1419.1044921875,-0.04844513888888799
1419.10546875,-0.051979861111127845
1419.1064453125,-0.053481481481481644
1419.107421875,-0.05762615740740514
1419.1083984375,-0.06080347222222863
1419.109375,-0.06173657407408935
1419.1103515625,-0.0691532407407547
1419.111328125,-0.06770925925925332
1419.1123046875,-0.06710763888890808
1419.11328125,-0.0710041666666736
1419.1142578125,-0.07241527777774957
1419.115234375,-0.07409166666664248
1419.1162109375,-0.07829444444444791
1419.1171875,-0.07789560185184709
1419.1181640625,-0.07648912037039476
1419.119140625,-0.0829907407407337
1419.1201171875,-0.08519120370372507
1419.12109375,-0.08905115740738836
1419.1220703125,-0.09243194444443878
1419.123046875,-0.09329953703703817
1419.1240234375,-0.09836805555555685
1419.125,-0.09908148148149216
1419.1259765625,-0.10172893518518125
1419.126953125,-0.10636342592597203
1419.1279296875,-0.10493680555555882
1419.12890625,-0.1057391203703899
1419.1298828125,-0.10693703703702509
1419.130859375,-0.1048831018518784
