timestamp,relative_power
2023-01-21 22:01:01,-0.033928874828497914
2023-01-21 22:02:01,-0.03139635450329446
2023-01-21 22:03:01,-0.028070067240422027
2023-01-21 22:04:01,-0.028821286752617074
2023-01-21 22:05:01,-0.02671234366318597
2023-01-21 22:06:01,-0.024458143121180855
2023-01-21 22:07:01,-0.02458199135966327
2023-01-21 22:08:01,-0.02446871222687179
2023-01-21 22:09:01,-0.02231098864963591
2023-01-21 22:10:01,-0.02169418648161447
2023-01-21 22:11:01,-0.021447303012779997
2023-01-21 22:12:01,-0.016906923608985637
2023-01-21 22:13:01,-0.019822099760747086
2023-01-21 22:14:01,-0.01849554149516487
2023-01-21 22:15:01,-0.015221286752617143
2023-01-21 22:16:01,-0.015348929029039829
2023-01-21 22:17:01,-0.013383075370503247
2023-01-21 22:18:01,-0.010949200031749892
2023-01-21 22:19:01,-0.012770067240422074
2023-01-21 22:20:01,-0.0071264358041075735
2023-01-21 22:21:01,-0.01023212686101807
2023-01-21 22:22:01,-0.0056112596523461445
2023-01-21 22:23:01,-0.004873048270232297
2023-01-21 22:24:01,-0.0032790103298528683
2023-01-21 22:25:01,0.001194160401854338
2023-01-21 22:26:01,0.0032705831660819443
2023-01-21 22:27:01,0.004676545225702587
2023-01-21 22:28:01,0.00765432300348067
2023-01-21 22:29:01,0.008300393464184878
2023-01-21 22:30:01,0.012958659046841016
2023-01-21 22:31:01,0.014636165821908789
2023-01-21 22:32:01,0.014629932759578027
2023-01-21 22:33:01,0.017513672596976337
2023-01-21 22:34:01,0.019717737637626756
2023-01-21 22:35:01,0.02016136907394095
2023-01-21 22:36:01,0.02247817124196274
2023-01-21 22:37:01,0.023969228152531788
2023-01-21 22:38:01,0.025301748477735295
2023-01-21 22:39:01,0.023372480185052204
2023-01-21 22:40:01,0.027349444954700274
2023-01-21 22:41:01,0.026376545225702788
2023-01-21 22:42:01,0.030706084521095696
2023-01-21 22:43:01,0.03263724983274879
2023-01-21 22:44:01,0.036792805388304435
2023-01-21 22:45:01,0.03728846934494383
2023-01-21 22:46:01,0.0387678731389819
2023-01-21 22:47:01,0.04108874034765387
